FlyBase:FBgn0021741	Cele\mag-1
FlyBase:FBgn0024485	Cele\ced-3
FlyBase:FBgn0024815	Cele\ced-9
FlyBase:FBgn0026140	Cele\ced-4
FlyBase:FBgn0040481	Cele\F11C7.4
FlyBase:FBgn0263421	Cele\daf-36
FlyBase:FBgn0265410	Cele\rrf-1
FlyBase:FBgn0265411	Cele\ego-1
FlyBase:FBgn0267980	Cele\hlh-13
WormBase:WBGene00000001	aap-1
WormBase:WBGene00000004	aat-3
WormBase:WBGene00000005	aat-4
WormBase:WBGene00000009	aat-8
WormBase:WBGene00000013	abf-2
WormBase:WBGene00000018	abl-1
WormBase:WBGene00000020	abt-2
WormBase:WBGene00000024	abu-1
WormBase:WBGene00000025	abu-2
WormBase:WBGene00000027	abu-4
WormBase:WBGene00000028	abu-5
WormBase:WBGene00000029	abu-6
WormBase:WBGene00000030	abu-7
WormBase:WBGene00000031	abu-8
WormBase:WBGene00000032	abu-9
WormBase:WBGene00000034	abu-11
WormBase:WBGene00000037	ace-3
WormBase:WBGene00000038	ace-4
WormBase:WBGene00000039	acn-1
WormBase:WBGene00000041	aco-2
WormBase:WBGene00000045	acr-6
WormBase:WBGene00000049	acr-10
WormBase:WBGene00000053	acr-14
WormBase:WBGene00000055	acr-16
WormBase:WBGene00000061	lgc-11
WormBase:WBGene00000062	acr-23
WormBase:WBGene00000063	act-1
WormBase:WBGene00000064	act-2
WormBase:WBGene00000065	act-3
WormBase:WBGene00000066	act-4
WormBase:WBGene00000067	act-5
WormBase:WBGene00000068	acy-1
WormBase:WBGene00000069	acy-2
WormBase:WBGene00000070	acy-3
WormBase:WBGene00000072	add-1
WormBase:WBGene00000075	adm-4
WormBase:WBGene00000079	adr-1
WormBase:WBGene00000081	ads-1
WormBase:WBGene00000083	adt-2
WormBase:WBGene00000084	aex-1
WormBase:WBGene00000085	aex-2
WormBase:WBGene00000086	aex-3
WormBase:WBGene00000088	aex-5
WormBase:WBGene00000089	aex-6
WormBase:WBGene00000090	age-1
WormBase:WBGene00000092	ags-3
WormBase:WBGene00000094	agt-2
WormBase:WBGene00000095	aha-1
WormBase:WBGene00000097	aip-1
WormBase:WBGene00000098	air-1
WormBase:WBGene00000099	air-2
WormBase:WBGene00000100	ajm-1
WormBase:WBGene00000101	aka-1
WormBase:WBGene00000102	akt-1
WormBase:WBGene00000103	akt-2
WormBase:WBGene00000105	alg-1
WormBase:WBGene00000106	alg-2
WormBase:WBGene00000107	alh-1
WormBase:WBGene00000110	alh-4
WormBase:WBGene00000112	alh-6
WormBase:WBGene00000113	alh-7
WormBase:WBGene00000114	alh-8
