affected_gene_id	affected_gene_label
gene_id	gene_label
ZFIN:ZDB-GENE-000125-4	dlc
ZFIN:ZDB-GENE-000128-11	dbx1b
ZFIN:ZDB-GENE-000128-8	dbx1a
ZFIN:ZDB-GENE-000201-13	kal1b
ZFIN:ZDB-GENE-000201-18	pbx4
ZFIN:ZDB-GENE-000201-9	kal1a
ZFIN:ZDB-GENE-000208-18	urod
ZFIN:ZDB-GENE-000208-20	mixl1
ZFIN:ZDB-GENE-000208-23	col11a2
ZFIN:ZDB-GENE-000208-25	bmp7a
ZFIN:ZDB-GENE-000208-4	zic1
ZFIN:ZDB-GENE-000209-3	robo1
ZFIN:ZDB-GENE-000209-4	robo3
ZFIN:ZDB-GENE-000210-19	rbp4
ZFIN:ZDB-GENE-000210-20	cat
ZFIN:ZDB-GENE-000210-21	inhbaa
ZFIN:ZDB-GENE-000210-23	meis2b
ZFIN:ZDB-GENE-000210-31	vdra
ZFIN:ZDB-GENE-000210-32	nme2b.1
ZFIN:ZDB-GENE-000210-33	nme2b.2
ZFIN:ZDB-GENE-000210-6	twist1a
ZFIN:ZDB-GENE-000210-8	pcna
ZFIN:ZDB-GENE-000223-14	phox2a
ZFIN:ZDB-GENE-000322-3	tnnt3a
ZFIN:ZDB-GENE-000323-1	tbr1b
ZFIN:ZDB-GENE-000328-3	fzd8a
ZFIN:ZDB-GENE-000328-5	hoxc9a
ZFIN:ZDB-GENE-000329-4	notch2
ZFIN:ZDB-GENE-000329-5	notch3
ZFIN:ZDB-GENE-000330-5	cdc25b
ZFIN:ZDB-GENE-000330-8	coil
ZFIN:ZDB-GENE-000330-9	psen2
ZFIN:ZDB-GENE-000403-1	axin1
ZFIN:ZDB-GENE-000405-1	pbx1a
ZFIN:ZDB-GENE-000405-5	pbx2
ZFIN:ZDB-GENE-000406-10	ccnb1
ZFIN:ZDB-GENE-000406-6	copz1
ZFIN:ZDB-GENE-000406-8	mespaa
ZFIN:ZDB-GENE-000406-9	mespba
ZFIN:ZDB-GENE-000411-1	wnt4b
ZFIN:ZDB-GENE-000412-1	bdnf
ZFIN:ZDB-GENE-000426-1	fn1a
ZFIN:ZDB-GENE-000427-3	p2rx3a
ZFIN:ZDB-GENE-000427-6	her7
ZFIN:ZDB-GENE-000427-7	tbx20
ZFIN:ZDB-GENE-000427-9	spon1a
ZFIN:ZDB-GENE-000501-1	celf1
ZFIN:ZDB-GENE-000502-1	bmpr1aa
ZFIN:ZDB-GENE-000509-1	arntl1a
ZFIN:ZDB-GENE-000509-2	arntl2
ZFIN:ZDB-GENE-000509-3	smad3a
ZFIN:ZDB-GENE-000511-1	hand2
ZFIN:ZDB-GENE-000511-6	baxa
ZFIN:ZDB-GENE-000511-7	mcl1a
ZFIN:ZDB-GENE-000511-8	slc40a1
ZFIN:ZDB-GENE-000516-1	fbxw4
ZFIN:ZDB-GENE-000526-1	hey2
ZFIN:ZDB-GENE-000605-1	runx1
ZFIN:ZDB-GENE-000605-2	runx3
ZFIN:ZDB-GENE-000607-1	pcdh18a
ZFIN:ZDB-GENE-000607-21	slc7a6
ZFIN:ZDB-GENE-000607-52	kat6b
ZFIN:ZDB-GENE-000607-75	noc2l
ZFIN:ZDB-GENE-000607-82	wwp2
ZFIN:ZDB-GENE-000607-83	krt4
ZFIN:ZDB-GENE-000616-13	appa
ZFIN:ZDB-GENE-000616-14	gart
ZFIN:ZDB-GENE-000616-15	foxh1
ZFIN:ZDB-GENE-000616-16	hsf1
ZFIN:ZDB-GENE-000616-1	badb
ZFIN:ZDB-GENE-000616-3	caspa
ZFIN:ZDB-GENE-000616-5	adar
ZFIN:ZDB-GENE-000616-6	myf5
ZFIN:ZDB-GENE-000619-1	cxcl14
ZFIN:ZDB-GENE-000622-1	gata6
ZFIN:ZDB-GENE-000626-1	tnnt2a
ZFIN:ZDB-GENE-000627-2	adarb1a
ZFIN:ZDB-GENE-000629-1	rplp0
ZFIN:ZDB-GENE-000629-3	ybx1
ZFIN:ZDB-GENE-000705-1	kdrl
ZFIN:ZDB-GENE-000710-4	zic2a
ZFIN:ZDB-GENE-000710-6	mxtx2
ZFIN:ZDB-GENE-000804-1	per3
ZFIN:ZDB-GENE-000816-1	fgfr3
ZFIN:ZDB-GENE-000822-4	hoxc13a
ZFIN:ZDB-GENE-000822-5	hoxc13b
ZFIN:ZDB-GENE-000823-3	hoxa3a
ZFIN:ZDB-GENE-000823-6	hoxb5b
ZFIN:ZDB-GENE-000828-1	scn8aa
ZFIN:ZDB-GENE-000831-3	slc3a2a
ZFIN:ZDB-GENE-000901-1	cd74a
ZFIN:ZDB-GENE-000906-1	sptb
ZFIN:ZDB-GENE-000906-4	fzd9b
ZFIN:ZDB-GENE-000920-1	edn1
ZFIN:ZDB-GENE-000926-1	atoh7
ZFIN:ZDB-GENE-000928-1	fech
ZFIN:ZDB-GENE-001006-1	fgf4
ZFIN:ZDB-GENE-001019-1	robo2
ZFIN:ZDB-GENE-001020-1	hmx3
ZFIN:ZDB-GENE-001030-2	pax5
ZFIN:ZDB-GENE-001030-3	pax8
ZFIN:ZDB-GENE-001030-4	pax2b
ZFIN:ZDB-GENE-001031-1	pax6b
ZFIN:ZDB-GENE-001101-1	nos1
ZFIN:ZDB-GENE-001103-1	sox9a
ZFIN:ZDB-GENE-001103-2	sox9b
ZFIN:ZDB-GENE-001103-3	fezf2
ZFIN:ZDB-GENE-001106-1	wnt3a
ZFIN:ZDB-GENE-001127-2	atp1b2a
ZFIN:ZDB-GENE-001205-1	csf1ra
ZFIN:ZDB-GENE-001205-2	aox3
ZFIN:ZDB-GENE-001205-4	ctsk
ZFIN:ZDB-GENE-001206-2	lbx2
ZFIN:ZDB-GENE-001207-1	supt5h
ZFIN:ZDB-GENE-001207-3	arnt2
ZFIN:ZDB-GENE-001207-7	epha4a
ZFIN:ZDB-GENE-001212-1	atp1a1a.1
ZFIN:ZDB-GENE-001212-6	atp1a2a
ZFIN:ZDB-GENE-001212-7	atp1a3a
ZFIN:ZDB-GENE-001212-8	atp1a3b
ZFIN:ZDB-GENE-001221-1	nrf1
ZFIN:ZDB-GENE-001222-1	vsx2
ZFIN:ZDB-GENE-001228-1	eomesa
ZFIN:ZDB-GENE-001228-2	s1pr1
ZFIN:ZDB-GENE-001229-1	alas2
ZFIN:ZDB-GENE-010102-1	dcn
ZFIN:ZDB-GENE-010108-1	vox
ZFIN:ZDB-GENE-010108-2	vent
ZFIN:ZDB-GENE-010111-1	sox19b
ZFIN:ZDB-GENE-010125-1	oprm1
ZFIN:ZDB-GENE-010126-2	ntrk2b
ZFIN:ZDB-GENE-010129-1	klf17
ZFIN:ZDB-GENE-010130-1	ctbp1
ZFIN:ZDB-GENE-010130-2	ctbp2a
ZFIN:ZDB-GENE-010131-2	cdk5
ZFIN:ZDB-GENE-010131-6	mdkb
ZFIN:ZDB-GENE-010131-8	ctsd
ZFIN:ZDB-GENE-010202-1	mapk8b
ZFIN:ZDB-GENE-010202-2	mapk14a
ZFIN:ZDB-GENE-010226-1	gdnfa
ZFIN:ZDB-GENE-010226-2	gfra1a
ZFIN:ZDB-GENE-010226-3	gfra1b
ZFIN:ZDB-GENE-010302-1	foxc1a
ZFIN:ZDB-GENE-010302-2	foxc1b
ZFIN:ZDB-GENE-010306-1	cyp11a1
ZFIN:ZDB-GENE-010306-3	slit2
ZFIN:ZDB-GENE-010306-4	slit3
ZFIN:ZDB-GENE-010316-1	slc6a3
ZFIN:ZDB-GENE-010319-1	dvl3a
ZFIN:ZDB-GENE-010319-35	pard6gb
ZFIN:ZDB-GENE-010320-1	cdk1
ZFIN:ZDB-GENE-010328-10	cldnj
ZFIN:ZDB-GENE-010328-15	hip1
ZFIN:ZDB-GENE-010328-2	cldnb
ZFIN:ZDB-GENE-010328-5	cldne
ZFIN:ZDB-GENE-010403-1	crx
ZFIN:ZDB-GENE-010406-2	meis3
