MONARCH:00049bc0b8401e01e9fd79faecd07254	WT; tnnt2a<MO1-tnnt2a (n.s.)>
MONARCH:000591e1697bdb7930216b11c0d17365	AB/TL; ezrb<MO2-ezrb (n.s.)>
MONARCH:00094c0cd42496210fadb32c30346402	cyp26a1<rw716>/cyp26a1<rw716> [n.s.]; dhrs3a<MO1-dhrs3a (n.s.)>; tp53<MO4-tp53 (n.s.)>
MONARCH:000f88f0b5764368af780994316876fe	<s843Tg>/<?> [n.s.]; e2f7<MO1-e2f7 (n.s.)>; e2f8<MO1-e2f8 (n.s.)>
MONARCH:001808f686924cbeb728424d46c1dd7b	WT; nr1h3<MO1-nr1h3 (n.s.)>; tp53<MO4-tp53 (n.s.)>
MONARCH:0019f7f03c4662aba4f1c7bd8eee6bdd	WT; mir92a-1<MO2-mir92a (n.s.)>; mir92a-2<MO2-mir92a (n.s.)>; tp53<MO4-tp53 (n.s.)>
MONARCH:001dc93ddb1c71f44f7f10ab768d36b3	WT; cxcl12a<MO3-cxcl12a (5 ng)>; cxcl12b<MO1-cxcl12b (5 ng)>
MONARCH:002b4285a21fc21aedbf056b7248ecc7	<ml2Tg>/<?> [n.s.]; isl1<MO3-isl1 (n.s.)>
MONARCH:002e1f0ad27e343c592c3df69473e927	WT; ctbp2a<MO3-ctbp2a (n.s.)>
MONARCH:002ff55e12ffe3365f39456016459fe6	<s903Tg>/<?> [n.s.]; lpar3<MO2-lpar3 (n.s.)>
MONARCH:0030104cf542030419750e108df0184c	<zf169Tg>/<?> [n.s.]; tnnt2a<MO1-tnnt2a (4 ng)>
MONARCH:003019444c28e4c9281df982d7239a45	<y1Tg>/<?> [n.s.]; vegfc<MO1-vegfc (5 ng)>
MONARCH:0036889bb9f23b8d84b90cfb57acad3e	AB; sox3<MO3-sox3 (n.s.)>
MONARCH:00445004c027779d0466c5b069b59115	WT; rhoab<MO1-rhoab (4-8 ng)>
MONARCH:004e8b698667592ada2c417f9089715a	WT; ltbp3<MO2-ltbp3 (4 ng)>
MONARCH:005a3853fe71975ef69e05377cf1f473	WT; and1<MO1-and1 (6 ng)>; and2<MO1-and2 (3 ng)>
MONARCH:005e146f64e35923b659bd8538b59847	WT; dnmt1<MO1-dnmt1 (n.s.)>; dnmt3ba<MO1-dnmt3ba (n.s.)>
MONARCH:00672d40d4efa018ddd87203ea736c83	napbb<rw76b>/napbb<rw76b> [n.s.]; sec22ba<MO1-sec22ba (n.s.)>
MONARCH:006d9ab6240e66dea31ace29850da8d2	<y1Tg>/<?> [n.s.]; spi1b<MO2-spi1b (0.375 mM)>; spi1b<MO3-spi1b (0.025 mM)>
MONARCH:006fe440fecb4c5a07fbd167c4fd33dc	WT; ahcyl1<MO2-ahcyl1 (n.s.)>
MONARCH:0076cb84ce67683b08b1e61e137c8351	WT; scinlb<MO2-scinlb (n.s.)>
MONARCH:0076cbc91272f529f9557e7e8c2b4363	WT; gata1a<MO1-gata1a (1 picomoles)>; gata2a<MO1-gata2a (0.2 picomoles)>
MONARCH:0079274d157f61bad82ef677542c5c06	WT; sepn1<MO1-sepn1 (500 micromoles)>
MONARCH:007961cc85e4521217dcfed169953ecc	chd<tt250>/chd<tt250> [n.s.]; fstl1b<MO5-fstl1b (3 ng)>
MONARCH:007b7b866da21ccc0edd02cbc2581223	WT; bmp4<MO4-bmp4 (1 ng)>
MONARCH:008a7e4d4659933c2bcd163e3ea13e68	cyp26a1<rw716>/cyp26a1<rw716> [n.s.]; cyp26c1<MO1-cyp26c1 (2.5 ng)>; dnd1<MO1-dnd1 (2.5 ng)>
MONARCH:008b099e6e696d18f05ecfd1723297ef	<y1Tg>/<?> [n.s.]; kras<MO1-kras (600 microM)>
MONARCH:009eace22359b90498230ac97b1814af	WT; rps19<MO2-rps19 (3.4 ng)>
MONARCH:00b2322d0287e86ef7dcbdf48b6c30f0	AB; enpp2<MO5-enpp2 (n.s.)>
MONARCH:00bb8ab6d82b224f32de3281b38df1c6	TL; lrsam1<MO2-lrsam1 (n.s.)>
MONARCH:00c1dc02a263d365cfa0258ec41c8c39	WT; rbp4<MO2-rbp4 (0.4 picomoles)>
MONARCH:00cce012a271021e66ac772d27d36f97	WT; gak<MO1-gak (8 ng)>
MONARCH:00d33b0a31907fda090723df7af6c302	WIK; dio2<MO2-dio2 (3-5 picomoles)>
MONARCH:00ec97d8c1c7d768e027df208a7bc138	WT; pax6a<MO1-pax6a (0.6-1.2 mM)>; pax6b<MO1-pax6b (0.6-1.2 mM)>
MONARCH:00ed529bd68e201131c02122050d1f8f	WT; ptges<MO2-ptges (2.0 ng)>
MONARCH:00ef2dea2d9629c2d2309998cd32359f	WT; pdcd10a<MO3-pdcd10a (6 ng)>; pdcd10b<MO2-pdcd10b (6 ng)>
MONARCH:00f9be387545a13c29273c6785e2e415	WT; mir132-1<MO1-mir132-1 (n.s.)>
MONARCH:010f3b66705d91851d3df9266ae7fd89	WT; acvr1l<MO2-acvr1l (n.s.)>; fcho1<MO1-fcho1 (n.s.)>
MONARCH:01122c1a693f777f52205b8ae9936482	<rw0130aTg>/<?>; <sqet20Et>/<?> [n.s.]; gdnfa<MO2-gdnfa (n.s.)>
MONARCH:01177a103cb8ffda40e0395fe61becdb	<sb4Tg>/<?> [n.s.]; scn8aa<MO1-scn8aa (micromoles)>
MONARCH:01202ed96eba91a11f83586603190bbd	WT; cdx4<MO1-cdx4 (n.s.)>
MONARCH:0128f1ffee67e92a6e1698c9b2ca0575	<ba2Tg>/<?> [n.s.]; sdc4<MO2-sdc4 (6 ng)>
MONARCH:012920caa915a3a2dcb0887173f59798	<sd2Tg>/<?> [n.s.]; smad5<MO3-smad5 (1.0 ng)>
MONARCH:01315f8b2b21c6a4b8aff14ac480162c	TU; chd7<MO3-chd7 (n.s.)>
MONARCH:013999447d5214a6c9bfbc6f5e887f66	WT; def6a<MO1-def6a (n.s.)>
MONARCH:0144fe01c8d0b3ee913d91ece7d980f5	AB; atp13a2<MO1-atp13a2 (n.s.)>; tp53<MO4-tp53 (n.s.)>
MONARCH:014add846b904ea5fc8d148bd4c69f5f	<s843Tg>/<+> [n.s.]; nostrin<MO2-nostrin (n.s.)>
MONARCH:015b7072a247185af02814970aa32297	<sd2Tg>/<?>; <y1Tg>/<?> [n.s.]; tnfrsf1b<MO3-tnfrsf1b (n.s.)>
MONARCH:0161124807c5f3a9acd9f669916f77d8	WT; slc39a7<MO1-slc39a7 (n.s.)>
MONARCH:017b619b260c4fca59db3422a9ab52d3	WT; sox19b<MO1-sox19b (n.s.)>; sox19b<MO2-sox19b (n.s.)>; sox2<MO3-sox2 (n.s.)>; sox2<MO4-sox2 (n.s.)>; sox3<MO3-sox3 (n.s.)>; sox3<MO4-sox3 (n.s.)>
MONARCH:017ef6b71e645f71cff71f029d0dba1d	sox10<m241>/sox10<m241> [n.s.]; cald1a<MO1-cald1a (n.s.)>
MONARCH:018032a38d6d1cffa174fdc3f8525914	TL; chd<MO2-chd (0.9-3.6 ng)>
MONARCH:01848dfca1a50b5865f539c4e8df831e	WT; ndr1<MO4-ndr1 (8 ng)>; ndr2<MO1-ndr2 (8 ng)>
MONARCH:01981c70a0496c5fd15154c62da191f1	AB/TU; llgl2<MO3-llgl2 (n.s.)>
MONARCH:01994c686ecbf4bd96b7788c4baefe66	WT; taok2b<MO1-taok2b (n.s.)>
MONARCH:019ec2a84dda0f5fee1ede637cd2016f	WT; tcf7l1a<MO1-tcf7l1a (n.s.)>
MONARCH:019fae805a3e9cf44f4b7511ffd5490d	WT; igf1ra<MO1-igf1ra (n.s.)>; igf1rb<MO1-igf1rb (n.s.)>
MONARCH:01a0c5cc8da18c698aa726dec61d1022	WT; fzd5<MO1-fzd5 (0.8 picomoles)>
MONARCH:01aceb34d54168cfe7f430484af6e621	WT; wnt11r<MO3-wnt11r (6-7 ng)>
MONARCH:01addbb8c842fdace30801f3f16bcd5e	WT; nkx2.5<MO2-nkx2.5 (4 ng)>
MONARCH:01aff2bf1bac825a4c3f7174699dade4	AB; bbs4<MO1-bbs4 (1.0 ng)>; ift80<MO1-ift80 (1.5 ng)>
MONARCH:01b57f9734f78952eae527963e2e6077	WT; foxi1<MO3-foxi1 (3 ng)>
MONARCH:01c73c8ae12a5c509e4040e338895598	WT; psmd13<MO1-psmd13 (n.s.)>
MONARCH:01cb9955302b82a21303312f72eeb180	WT; rpl22<MO1-rpl22 (n.s.)>
MONARCH:01d0131413e0840389937d1d9138bcb9	WT; tfr1b<MO1-tfr1b (0.25 mM)>
MONARCH:01e06969dd40b762fc7ecca3690bf825	AB; usp48<MO1-usp48 (2.0 picomoles)>
MONARCH:01f082b418d0e4a12cf41127b5ddfb47	<zf106Tg>/<?> [n.s.]; hoxb8a<MO2-hoxb8a (n.s.)>
MONARCH:01f19f820f5740caa4e6060b7bdf5cae	WT; arl6<MO1-arl6 (125-500 mM)>
MONARCH:01f7c89fdc66eac1cc1abf695d500014	WT; gli3<MO1-gli3 (ng)>; gli3<MO2-gli3 (ng)>
MONARCH:02027a693aa8dff29705e2bfccf306d0	WT; tfap2a<MO4-tfap2a (2.5 ng)>; tfap2c<MO2-tfap2c (5 ng)>
MONARCH:0204160e2782873dee5761e8956191f4	<s843Tg>/<?> [n.s.]; mir10a<MO4-mir10 (n.s.)>; mir10b-1<MO2-mir10b-1 (n.s.)>; mir10b-2<MO1-mir10b-2 (n.s.)>; mir10c<MO4-mir10 (n.s.)>; mir10d<MO4-mir10d (n.s.)>
MONARCH:02054bb78336a845191e9dd4ec198d55	WT; hs3st1l2<MO1-hs3st1l2 (n.s.)>
MONARCH:020a0ca319d37f40c58b09213025dfad	<m1018Tg>/<?>; <nl1Tg>/<?> [n.s.]; mnx1<MO2-mnx1 (n.s.)>; pdx1<MO1-pdx1 (n.s.)>
MONARCH:021362e8dda16c0f4b3dbcfff4e0ffb9	meox1<tm26>/meox1<tm26> [n.s.]; cxcl12a<MO2-cxcl12a (1 mM)>
MONARCH:0215a7d5aca1f28c0f12b19f0753ad30	WT; aph1b<MO1-aph1b (4 ng)>
MONARCH:021943a48ca57390b65d597f90d9e3f6	WT; slc4a4a<MO1-slc4a4a (9 ng)>
MONARCH:021955354559fae22df9d8086de95e23	<y1Tg>/<?> [n.s.]; vegfaa<MO2-vegfaa (4 ng)>
MONARCH:02271bb428867ee5348954fb3ca255b2	WT; rtn4a<MO5-rtn4a (n.s.)>
MONARCH:022afa4f0f14bfee847b913cde2baa77	WT; arl13b<MO1-arl13b (n.s.)>
MONARCH:023ab6c5cbd3203dd5fba15cfe63ff59	<pt505Tg>/<?>; <y7Tg>/<?>; acvrl1<y6>/acvrl1<y6> [n.s.]; tnnt2a<MO1-tnnt2a (n.s.)>
MONARCH:023da4f3e5dd5588d3ff6700c7b844ed	WT; krit1<MO2-krit1 (n.s.)>
MONARCH:02444db429aad230003494c6f380cfed	WT; gja3<MO1-gja3 (ng)>
MONARCH:026870f7c5278db773d7223dae8afd68	<s843Tg>/<?>; <sd2Tg>/<?> [n.s.]; etv2<MO3-etv2 (0.5 ng)>; foxc1a<MO2-foxc1a (4 ng)>
MONARCH:026e1d399beab0babbf0b957148a0f63	<y1Tg>/<?> [n.s.]; syk<MO1-syk (1.5 ng)>; zap70<MO2-zap70 (3.4 ng)>
MONARCH:027383bd28a42f8e7db484d743bea78d	WT; mir451a<MO1-mir451a (16 ng)>
MONARCH:0277864ba32a8e1b6c0e628cfd44bd74	WT; egf<MO1-egf (n.s.)>
MONARCH:027fe2c9c794eda30cae7f25dc514bea	WT; tbx2a<MO4-tbx2a (n.s.)>
MONARCH:0295885f32df40a83a36b3a908169dc8	<la2Tg>/<?> [n.s.]; npc1<MO1-npc1 (n.s.)>
MONARCH:029711a559338effbbfae96e14769cc0	WT; prrx1a<MO1-prrx1a (n.s.)>; prrx1b<MO1-prrx1b (n.s.)>
MONARCH:029717db81f54fbd060b8cee4aaa7743	<twu34Tg>/<?> [n.s.]; pak1<MO2-pak1 (n.s.)>
MONARCH:029af2eb6c45f8d0e2522466907c20aa	WT; pitx2<MO9-pitx2 (n.s.)>
MONARCH:02a09cc3d075babf282ffe7b844a2711	WT; cdh7<MO2-cdh7 (3.4-6.8 ng)>
MONARCH:02a3acd3b5335136b47147e66e878d35	WT; foxa1<MO2-foxa1 (n.s.)>; foxa2<MO1-foxa2 (n.s.)>; foxa3<MO1-foxa3 (n.s.)>; foxa3<MO2-foxa3 (n.s.)>
MONARCH:02aae5c7982ca22dc1a09cc15599efe6	<li1Tg>/<?> [n.s.]; rac1b<MO1-rac1b (n.s.)>
MONARCH:02adf07c2a5be7c452eea40ab7eb3532	WT; ift172<MO1-ift172 (0.25 picomoles)>; tsc1a<MO1-tsc1a (0.25 picomoles)>
MONARCH:02b5012b9398e24ddecbcbd390a7a7c7	<zf13Tg>/<?> [n.s.]; snu13b<MO1-nhp2l1b (n.s.)>
MONARCH:02c993050501bdc8479ac4284b7f4430	WT; sema5a<MO1-sema5a (18 ng)>
MONARCH:02cc91bcf2efdb458a824d4dbf505d51	mib1<ta52b>/mib1<ta52b> [n.s.]; mib1<MO4-mib1 (75.0 ng)>
MONARCH:02d8c2e02376393673d5678f89e504b0	WT; fibinb<MO2-fibinb (13 mg/ml)>
MONARCH:02daf0cb475a53cd7f7664c8a91dc0be	mef2ca<tn213>/mef2ca<tn213> [n.s.]; mef2cb<MO2-mef2cb (n.s.)>
MONARCH:02dcc6c15d1ca054e7ae720bb4314f81	WT; gata6<MO1-gata6 (5 ng)>
