FlyBase:BAA03067	BAA03067
FlyBase:FBal0000008	alphaTub67C[1]
FlyBase:FBal0000009	alphaTub67C[2]
FlyBase:FBal0000010	alphaTub67C[3]
FlyBase:FBal0000011	alphaTub67C[4]
FlyBase:FBal0000013	alphaTub84B[1]
FlyBase:FBal0000014	alphaTub84B[2]
FlyBase:FBal0000015	alphaTub84B[3]
FlyBase:FBal0000017	alphaTub84B[5]
FlyBase:FBal0000018	alphaTub84B[6]
FlyBase:FBal0000019	alphaTub84B[7]
FlyBase:FBal0000020	betaTub60D[1]
FlyBase:FBal0000021	betaTub60D[2]
FlyBase:FBal0000022	betaTub60D[3]
FlyBase:FBal0000023	betaTub60D[4]
FlyBase:FBal0000024	betaTub60D[5]
FlyBase:FBal0000025	betaTub85D[3]
FlyBase:FBal0000026	betaTub85D[4]
FlyBase:FBal0000027	betaTub85D[6]
FlyBase:FBal0000028	betaTub85D[7]
FlyBase:FBal0000029	betaTub85D[8]
FlyBase:FBal0000030	betaTub85D[9]
FlyBase:FBal0000031	betaTub85D[10]
FlyBase:FBal0000032	betaTub85D[11]
FlyBase:FBal0000033	betaTub85D[D]
FlyBase:FBal0000034	betaTub85D[Drv1]
FlyBase:FBal0000035	betaTub85D[Drv2]
FlyBase:FBal0000036	betaTub85D[n]
FlyBase:FBal0000037	Abnormal-abdomen[1]
FlyBase:FBal0000038	Abnormal-abdomen[70]
FlyBase:FBal0000039	Abnormal-abdomen[53g]
FlyBase:FBal0000040	a[1]
FlyBase:FBal0000041	a[ba1]
FlyBase:FBal0000042	a[ba2]
FlyBase:FBal0000043	a[ba3]
FlyBase:FBal0000044	a[ba4]
FlyBase:FBal0000046	a[badp]
FlyBase:FBal0000047	a[bar]
FlyBase:FBal0000048	a[Ba]
FlyBase:FBal0000049	a[BaC]
FlyBase:FBal0000051	a[Bap2]
FlyBase:FBal0000052	a[BaX]
FlyBase:FBal0000053	a[Bay]
FlyBase:FBal0000054	a[M60]
FlyBase:FBal0000055	a[ba]
FlyBase:FBal0000056	a(1)48[48]
FlyBase:FBal0000057	a(1)48[50]
FlyBase:FBal0000058	a(1)48[51]
FlyBase:FBal0000059	a(1)HM26[1]
FlyBase:FBal0000060	a(1)HM27[1]
FlyBase:FBal0000061	a(2)48[50]
FlyBase:FBal0000062	a(2)48[51]
FlyBase:FBal0000063	a(2)48[A51]
FlyBase:FBal0000064	a(3)48[1]
FlyBase:FBal0000065	Altered-abdomen[1]
FlyBase:FBal0000066	aa[1]
FlyBase:FBal0000067	ab[1]
FlyBase:FBal0000068	ab[2]
FlyBase:FBal0000069	ab[51g]
FlyBase:FBal0000070	ab[l-60h]
FlyBase:FBal0000071	abb[1]
FlyBase:FBal0000072	abd[2]
FlyBase:FBal0000073	abd[1]
FlyBase:FBal0000077	abd-A[C26]
FlyBase:FBal0000078	abd-A[C51]
FlyBase:FBal0000080	abd-A[D24]
FlyBase:FBal0000081	abd-A[M1]
FlyBase:FBal0000082	abd-A[M3]
FlyBase:FBal0000083	abd-A[MX1]
FlyBase:FBal0000084	abd-A[MX2]
FlyBase:FBal0000085	abd-A[P10]
FlyBase:FBal0000086	abd-A[S2]
FlyBase:FBal0000087	abd-A[Hab-1]
FlyBase:FBal0000088	abd-A[Hab-2]
FlyBase:FBal0000089	abd-A[iab2-671]
FlyBase:FBal0000090	abd-A[iab2-K]
FlyBase:FBal0000091	abd-A[iab2-S3]
FlyBase:FBal0000092	abd-A[iab3-33]
FlyBase:FBal0000094	abd-A[iab3-277]
FlyBase:FBal0000097	abd-A[iab3-Uab4]
FlyBase:FBal0000098	abd-A[iab4-45]
FlyBase:FBal0000099	abd-A[iab4-125]
FlyBase:FBal0000100	abd-A[iab4-166]
FlyBase:FBal0000102	abd-A[iab4-302]
FlyBase:FBal0000105	abd-A[iab4,5-DB]
FlyBase:FBal0000106	abd-A[Uab-2]
FlyBase:FBal0000109	Abd-B[iab8-D3]
FlyBase:FBal0000110	Abd-B[iab8-D16]
FlyBase:FBal0000111	Abd-B[297]
FlyBase:FBal0000112	Abd-B[M1]
FlyBase:FBal0000114	Abd-B[iab5-301]
FlyBase:FBal0000116	Abd-B[iab5-843]
FlyBase:FBal0000118	Abd-B[iab6-11]
FlyBase:FBal0000120	Abd-B[iab6-105]
FlyBase:FBal0000123	Abd-B[iab6-C1]
FlyBase:FBal0000124	Abd-B[iab6-C7]
FlyBase:FBal0000125	Abd-B[Vno]
FlyBase:FBal0000129	Abd-B[iab7-MX1]
FlyBase:FBal0000130	Abd-B[iab7-MX2]
FlyBase:FBal0000131	Abd-B[iab7-SGA]
FlyBase:FBal0000132	Abd-B[iab7-Spth]
FlyBase:FBal0000133	Abd-B[iab8-380]
FlyBase:FBal0000134	Abd-B[iab8-D6]
FlyBase:FBal0000135	Abd-B[iab8-D14]
FlyBase:FBal0000136	Abd-B[iab8-D15]
FlyBase:FBal0000137	Abd-B[iab9-48]
FlyBase:FBal0000138	Abd-B[iab9-65]
FlyBase:FBal0000141	Abd-B[iab9-Tab]
FlyBase:FBal0000142	Abd-B[iab9-tuh-3]
FlyBase:FBal0000144	Abd-B[iab9-x23-1]
FlyBase:FBal0000145	Abd-B[Mcp-1]
FlyBase:FBal0000147	Abd-B[Sab-1]
FlyBase:FBal0000149	Abd-B[Uab-1]
FlyBase:FBal0000154	Abl[l2]
FlyBase:FBal0000155	Abl[l3]
FlyBase:FBal0000156	abo[1]
FlyBase:FBal0000157	abr[1]
FlyBase:FBal0000158	abt[1]
FlyBase:FBal0000159	abw[1]
FlyBase:FBal0000160	ac[1]
FlyBase:FBal0000161	ac[2]
FlyBase:FBal0000162	ac[3]
FlyBase:FBal0000163	ac[3B]
FlyBase:FBal0000164	ac[4]
FlyBase:FBal0000167	ac[Hw-1]
FlyBase:FBal0000168	ac[Hw-1+R1]
FlyBase:FBal0000169	ac[Hw-1+R3]
FlyBase:FBal0000170	ac[Hw-1+R5]
FlyBase:FBal0000171	ac[Hw-2]
FlyBase:FBal0000172	ac[Hw-49c]
FlyBase:FBal0000173	ac[Hw-49crv1]
FlyBase:FBal0000174	ac[Hw-49crv4]
FlyBase:FBal0000175	sc[Hw-49crv5]
FlyBase:FBal0000176	ac[Hw-685]
FlyBase:FBal0000177	ac[Hw-bap]
FlyBase:FBal0000178	ac[Hw-BS]
FlyBase:FBal0000179	acclinal-wing[1]
FlyBase:FBal0000182	Ace[1]
FlyBase:FBal0000183	Ace[2]
FlyBase:FBal0000187	Ace[6]
FlyBase:FBal0000189	Ace[8]
FlyBase:FBal0000193	Ace[12]
FlyBase:FBal0000195	Ace[14]
FlyBase:FBal0000196	Ace[15]
FlyBase:FBal0000199	Ace[j19]
FlyBase:FBal0000200	Ace[j21]
FlyBase:FBal0000202	Ace[j29]
FlyBase:FBal0000207	Ace[j40]
FlyBase:FBal0000212	Ace[j50]
FlyBase:FBal0000216	Ace[lm35]
FlyBase:FBal0000217	Ace[lm38]
FlyBase:FBal0000218	Ace[lm115]
FlyBase:FBal0000220	Ace[mr]
FlyBase:FBal0000241	AcpC[null]
FlyBase:FBal0000242	AcpGI[null]
FlyBase:FBal0000244	Acph-1[B]
FlyBase:FBal0000246	Acph-1[n1]
FlyBase:FBal0000247	Acph-1[n2]
FlyBase:FBal0000248	Acph-1[n3]
FlyBase:FBal0000249	Acph-1[n4]
FlyBase:FBal0000250	Acph-1[n5]
FlyBase:FBal0000251	Acph-1[n6]
FlyBase:FBal0000252	Acph-1[n7]
FlyBase:FBal0000253	Acph-1[n8]
FlyBase:FBal0000254	Acph-1[n9]
FlyBase:FBal0000255	Acph-1[n10]
FlyBase:FBal0000256	Acph-1[n11]
FlyBase:FBal0000257	Acph-1[n12]
FlyBase:FBal0000258	Acph-1[n13]
FlyBase:FBal0000259	Acph-1[n14]
FlyBase:FBal0000260	Acph-1[n15]
FlyBase:FBal0000264	AcpK[null]
FlyBase:FBal0000265	act[1]
FlyBase:FBal0000267	Act88F[1]
FlyBase:FBal0000269	Act88F[3]
FlyBase:FBal0000270	Act88F[4]
FlyBase:FBal0000271	Act88F[5]
FlyBase:FBal0000272	Act88F[6]
FlyBase:FBal0000274	Act88F[8]
FlyBase:FBal0000275	Actn[1]
FlyBase:FBal0000276	Actn[2]
FlyBase:FBal0000277	Actn[3]
FlyBase:FBal0000278	Actn[4]
FlyBase:FBal0000279	Actn[5]
FlyBase:FBal0000280	Actn[6]
FlyBase:FBal0000281	Actn[7]
FlyBase:FBal0000282	Actn[8]
FlyBase:FBal0000283	Actn[9]
FlyBase:FBal0000286	Actn[12]
FlyBase:FBal0000288	Actn[14]
FlyBase:FBal0000290	Actn[16]
FlyBase:FBal0000294	ad[1]
FlyBase:FBal0000295	ade1[1]
FlyBase:FBal0000296	ade2[1]
FlyBase:FBal0000297	ade2[2]
FlyBase:FBal0000298	ade2[3]
FlyBase:FBal0000299	ade2[4]
FlyBase:FBal0000300	ade2[5]
FlyBase:FBal0000301	ade2[6]
FlyBase:FBal0000302	ade2[7]
FlyBase:FBal0000305	ade2[10]
FlyBase:FBal0000306	ade2[11]
FlyBase:FBal0000307	ade3[1]
FlyBase:FBal0000308	Adh[nAus]
FlyBase:FBal0000310	Adh[71k]
FlyBase:FBal0000311	Adh[A1]
FlyBase:FBal0000312	Adh[B7]
FlyBase:FBal0000313	Adh[D]
FlyBase:FBal0000314	Adh[F]
FlyBase:FBal0000315	Adh[F']
FlyBase:FBal0000317	Adh[F-ChD]
FlyBase:FBal0000319	Adh[Fr]
FlyBase:FBal0000321	Adh[S]
FlyBase:FBal0000322	Adh[Sm]
FlyBase:FBal0000324	Adh[UF]
FlyBase:FBal0000326	Adh[fn4]
FlyBase:FBal0000327	Adh[fn6]
FlyBase:FBal0000328	Adh[fn23]
FlyBase:FBal0000329	Adh[fn24]
FlyBase:FBal0000330	Adh[fn45]
FlyBase:FBal0000331	Adh[fn46]
FlyBase:FBal0000332	Adh[n1]
FlyBase:FBal0000333	Adh[n2]
