FBbt:00000003PHENOTYPE	segment phenotype
FBbt:00000004PHENOTYPE	Drosophila head phenotype
FBbt:00000005PHENOTYPE	Drosophila ocular segment phenotype
FBbt:00000006PHENOTYPE	head segment phenotype
FBbt:00000007PHENOTYPE	procephalic segment phenotype
FBbt:00000008PHENOTYPE	Drosophila labral segment phenotype
FBbt:00000009PHENOTYPE	Drosophila antennal segment phenotype
FBbt:00000010PHENOTYPE	Drosophila intercalary segment phenotype
FBbt:00000011PHENOTYPE	Drosophila gnathal segment phenotype
FBbt:00000012PHENOTYPE	Drosophila mandibular segment phenotype
FBbt:00000013PHENOTYPE	Drosophila maxillary segment phenotype
FBbt:00000014PHENOTYPE	labial segment phenotype
FBbt:00000015PHENOTYPE	Drosophila thorax phenotype
FBbt:00000016PHENOTYPE	thoracic segment phenotype
FBbt:00000017PHENOTYPE	prothoracic segment phenotype
FBbt:00000018PHENOTYPE	mesothoracic segment phenotype
FBbt:00000019PHENOTYPE	metathoracic segment phenotype
FBbt:00000020PHENOTYPE	Drosophila abdomen phenotype
FBbt:00000021PHENOTYPE	Drosophila abdominal segment phenotype
FBbt:00000022PHENOTYPE	abdominal segment 1 phenotype
FBbt:00000023PHENOTYPE	Drosophila abdominal segment 2 phenotype
FBbt:00000024PHENOTYPE	Drosophila abdominal segment 3 phenotype
FBbt:00000025PHENOTYPE	abdominal segment 4 phenotype
FBbt:00000026PHENOTYPE	Drosophila abdominal segment 5 phenotype
FBbt:00000027PHENOTYPE	abdominal segment 6 phenotype
FBbt:00000028PHENOTYPE	abdominal segment 7 phenotype
FBbt:00000029PHENOTYPE	Drosophila abdominal segment 8 phenotype
FBbt:00000030PHENOTYPE	Drosophila abdominal segment 9 phenotype
FBbt:00000031PHENOTYPE	abdominal segment 10 phenotype
FBbt:00000032PHENOTYPE	Drosophila abdominal segment 11 phenotype
FBbt:00000033PHENOTYPE	Drosophila telson phenotype
FBbt:00000034PHENOTYPE	Drosophila egg phenotype
FBbt:00000039PHENOTYPE	Drosophila inner chorionic layer phenotype
FBbt:00000040PHENOTYPE	Drosophila endochorion phenotype
FBbt:00000041PHENOTYPE	Drosophila exochorion phenotype
FBbt:00000042PHENOTYPE	vitelline membrane phenotype
FBbt:00000043PHENOTYPE	Drosophila micropyle phenotype
FBbt:00000045PHENOTYPE	egg operculum phenotype
FBbt:00000046PHENOTYPE	dorsal appendage phenotype
FBbt:00000047PHENOTYPE	posterior aeropyle phenotype
FBbt:00000051PHENOTYPE	Drosophila polar body nucleus phenotype
FBbt:00000052PHENOTYPE	Drosophila embryo phenotype
FBbt:00000054PHENOTYPE	Drosophila cleavage stage embryo phenotype
FBbt:00000055PHENOTYPE	Drosophila cleavage nucleus phenotype
FBbt:00000056PHENOTYPE	energid phenotype
FBbt:00000057PHENOTYPE	Drosophila yolk nucleus phenotype
